juror,date,winner,loser,magnitude,reasoning
L1Juror28,2026-06-14T08:33:12.050Z,ethereum/consensus-specs,OpenZeppelin/openzeppelin-contracts,1.5,"Consensus Specs define Ethereum's core protocol and continue to generate new knowledge through research, consensus, and protocol evolution. OpenZeppelin standardized secure smart contract development and enabled countless applications. While OpenZeppelin's impact is immense, its marginal value may decline as best practices become industry norms. Long term, Consensus Specs likely carry greater strategic significance."
L1Juror28,2026-06-14T08:41:44.292Z,ethereum/go-ethereum,OpenZeppelin/openzeppelin-contracts,1.3,"Both OpenZeppelin and Geth are foundational contributions to the Ethereum ecosystem, though they operate at different layers. OpenZeppelin has significantly improved application security by standardizing battle-tested smart contract implementations and best practices, enabling broad ecosystem adoption. Geth, as the longest-running and most widely adopted Ethereum client, has played a critical role in defining protocol implementation standards, interoperability, operational reliability, and network stability. While both projects have had substantial ecosystem impact, Geth's role as a credibly neutral protocol-layer infrastructure may provide greater long-term strategic significance."
L1Juror28,2026-06-14T08:48:36.816Z,foundry-rs/foundry,wighawag/hardhat-deploy,2.2,"Foundry has evolved into a comprehensive Ethereum development platform, encompassing testing, deployment, local execution, debugging, CI, and infrastructure tooling. Its Rust-based ecosystem has also influenced a new generation of developer tools and workflows. In contrast, hardhat-deploy is a valuable project that promotes robust deployment practices within the Hardhat ecosystem, but its scope remains primarily focused on deployment workflows. Considering ecosystem influence, technical breadth, and long-term infrastructure value, I would assess Foundry at approximately 2.2× the value of hardhat-deploy."
L1Juror28,2026-06-14T08:55:33.142Z,ethereum/go-ethereum,blockscout/blockscout,8,"While Blockscout provides valuable open-source infrastructure for transparency, data verification, and chain observability, its functionality is comparatively more replaceable, and modern tooling has significantly lowered the barrier to building similar explorer and indexing solutions. Geth, by contrast, directly safeguards protocol correctness, asset security, network reliability, and operational continuity. As Ethereum’s most influential execution client and long-standing reference implementation, it has shaped protocol standards, interoperability, testing practices, and client reliability. Without secure and stable execution clients, applications would have little foundation to build upon."
L1Juror28,2026-06-14T09:01:59.026Z,ethereum/consensus-specs,flashbots/mev-boost,5,"Specs define the protocol itself, establishing the foundations of Proof-of-Stake, consensus, finality, and network correctness. In contrast, MEV-Boost introduced a practical architecture that mitigated some of the adverse effects of transaction ordering after Ethereum's transition to PoS, reducing certain forms of harmful MEV extraction while enabling a competitive builder ecosystem. Although MEV-Boost is not a complete solution and continues to face challenges around centralization and fairness, it has served as an important stepping stone toward more sophisticated PBS-based designs. Overall, I assess Consensus Specs at approximately 5× the value of MEV-Boost due to its fundamental and enduring role in Ethereum's evolution."
L1Juror28,2026-06-14T09:06:31.303Z,foundry-rs/foundry,remix-project-org/remix-project,5,"Both Remix and Foundry have made significant contributions to Ethereum developer tooling. Remix lowered the barrier to entry for smart contract development and remains an important onboarding and educational platform. Foundry, however, has evolved into a comprehensive development ecosystem spanning testing, fuzzing, deployment, local execution, CI, and infrastructure tooling. Its influence extends beyond productivity into modern engineering practices and the broader tooling ecosystem. Overall, I assess Foundry's long-term impact at approximately 5× that of Remix."
L1Juror28,2026-06-14T09:12:36.516Z,ethers-io/ethers.js,remix-project-org/remix-project,1.2,"Remix helped developers learn Ethereum; ethers.js helped them build on it. Remix played a critical role in developer education and onboarding, helping countless developers understand smart contracts and Ethereum itself. Ethers.js accelerated ecosystem growth by providing a powerful abstraction layer that enabled wallets, dApps, and infrastructure to be built more efficiently. While ethers.js achieved broader adoption and ecosystem reach, its long-term marginal value may decline as alternative libraries and AI-assisted development become more accessible. Considering both educational impact and ecosystem expansion, I assess ethers.js at approximately 1.2× the value of Remix."
L1Juror28,2026-06-14T13:41:54.364Z,OpenZeppelin/openzeppelin-contracts,flashbots/mev-boost,3.5,"OpenZeppelin and MEV-Boost addressed very different challenges within Ethereum. OpenZeppelin established the de facto security standard for smart contracts, safeguarding billions of dollars in assets and enabling applications to be adopted and scaled with greater confidence. Its impact extends across virtually every sector of the ecosystem. MEV-Boost, while an important innovation that mitigated some of the economic inefficiencies introduced by transaction ordering in the PoS era, remains an imperfect and transitional solution. The ecosystem continues to face centralization concerns, with only a small number of operators dominating the market. Given OpenZeppelin's enduring role in securing applications and protecting user assets, I assess its contribution at approximately 3.5× that of MEV-Boost."
L1Juror28,2026-06-14T13:50:57.382Z,OffchainLabs/prysm,remix-project-org/remix-project,5,"Remix significantly lowered the barrier to Ethereum development and helped onboard generations of smart contract developers. Prysm, however, played a far more critical role in securing Ethereum's PoS network, serving as one of the dominant consensus clients through multiple major upgrades, including the Merge. Despite concerns around client concentration and occasional operational issues, Prysm's contribution to protocol security, validator operations, and network continuity is substantially greater. Moreover, maintaining a diverse set of credibly neutral consensus clients requires a rare combination of protocol expertise and operational experience, making such contributions significantly harder to replicate than developer-facing tools. Overall, I assess Prysm at approximately 5× the value of Remix."
L1Juror28,2026-06-14T13:52:51.020Z,foundry-rs/foundry,blockscout/blockscout,5,"Foundry has evolved into a comprehensive Ethereum development platform, shaping modern standards for testing, deployment, debugging, security research, and developer workflows. Its influence extends beyond tooling into the broader engineering ecosystem. Blockscout provides valuable open-source infrastructure for transparency, verification, and chain observability, but its functionality remains comparatively more replaceable through alternative explorers and indexing services. Considering technical breadth, ecosystem influence, and long-term infrastructure value, I assess Foundry at approximately 5× the value of Blockscout."
L1Juror17,2026-06-15T03:21:40.767Z,ethereum/EIPs,OffchainLabs/stylus-sdk-rs,1000,"EIPs (Ethereum Improvement Proposals) are the standards for Ethereum and the broader Ethereum ecosystem—they form the foundation of everything. In contrast, stylus-sdk-rs is merely a language-specific SDK that provides smart contract development capabilities for a particular Layer 2 built on Ethereum."
L1Juror17,2026-06-15T08:38:09.134Z,ethereum/EIPs,ethereum/consensus-specs,5,"EIPs are selected and incorporated, then refined into specifications that guide implementation across different clients. In contrast, the consensus specs only include protocol-layer EIPs.

EIPs cover a wide range of possibilities across both Ethereum’s Consensus Layer (CL) and Execution Layer (EL), making them broader in scope and, in that sense, more important than the consensus specs."
L1Juror17,2026-06-15T09:00:56.031Z,argotorg/solidity,intellij-solidity/intellij-solidity,100,IntelliJ Solidity is merely a development tool; its importance is nowhere near that of Solidity itself.
L1Juror17,2026-06-15T09:03:56.562Z,wealdtech/ethdo,shazow/whatsabi,2,"WhatsABI is just a non-essential developer utility, while Ethdo can be a critical dependency for certain production-grade applications."
L1Juror17,2026-06-15T09:05:57.413Z,ethereum/EIPs,argotorg/solidity,10,"EIPs form the foundation of the Ethereum ecosystem. Solidity, despite its importance in Ethereum application development, is not irreplaceable—developers can choose alternatives such as Vyper."
L1Juror17,2026-06-15T09:08:26.590Z,axiom-crypto/snark-verifier,OffchainLabs/stylus-sdk-rs,1.1,
L1Juror17,2026-06-15T09:09:16.096Z,wighawag/hardhat-deploy,shazow/whatsabi,5,
L1Juror17,2026-06-15T09:09:37.907Z,OffchainLabs/stylus-sdk-rs,wighawag/hardhat-deploy,2,
L1Juror17,2026-06-15T09:10:05.897Z,argotorg/solidity,wighawag/hardhat-deploy,100,
L1Juror17,2026-06-15T09:10:33.135Z,OffchainLabs/stylus-sdk-rs,wealdtech/ethdo,2,
L1Juror66,2026-06-16T17:24:02.506Z,ethpandaops/ethereum-package,axiom-crypto/snark-verifier,100,"Without pandaops , it will be a mess spinning up testnets and stresstesting networks"
L1Juror66,2026-06-16T17:24:48.758Z,ethpandaops/ethereum-package,ChainSafe/lodestar,1,
L1Juror66,2026-06-16T17:25:35.759Z,libp2p/libp2p,argotorg/solidity,5,
L1Juror66,2026-06-16T17:27:14.751Z,libp2p/libp2p,arkworks-rs/algebra,5,
L1Juror66,2026-06-16T17:29:18.531Z,Consensys/teku,argotorg/solidity,3,
L1Juror66,2026-06-16T17:29:53.015Z,Consensys/teku,axiom-crypto/snark-verifier,5,
L1Juror66,2026-06-16T17:30:09.119Z,Consensys/teku,lambdaclass/lambdaworks,5,
L1Juror66,2026-06-16T17:30:56.893Z,Consensys/teku,arkworks-rs/algebra,5,
L1Juror66,2026-06-16T17:32:24.397Z,libp2p/libp2p,axiom-crypto/snark-verifier,5,
L1Juror66,2026-06-16T17:51:26.340Z,sigp/lighthouse,flashbots/mev-boost,2,
L2Juror67,2026-06-17T22:33:33.884Z,supranational/blst,libp2p/libp2p,1.2,"I must say this is a difficult assessment. These two libraries serve as cornerstones in the cryptography and networking layers, respectively. BLST is the foundation of aggregated signatures and also serves as the core cryptographic safeguard for the current Ethereum consensus layer. libp2p is the cornerstone of the network layer. These two projects play a significant role not only in the blockchain space but also in the broader fields of security and network communications. This also reflects the contribution that blockchain—and Ethereum in particular—has made to the entire open-source community."
L2Juror67,2026-06-17T22:34:59.105Z,supranational/blst,ethereum/js-ethereum-cryptography,1.4,"BLST is a widely used, secure, reliable, and highly optimized library. It is ready for immediate use in production."
L2Juror67,2026-06-17T22:35:18.144Z,ethereum/py_ecc,ethereum/web3.py,1.2,
L2Juror67,2026-06-17T22:36:41.027Z,argotorg/solidity,libp2p/libp2p,5,"The importance of Solidity far exceeds what we imagined when we first started developing. It is the first language nearly all blockchain developers encounter, and it has shaped the entire development community."
L2Juror67,2026-06-17T22:36:55.852Z,libp2p/libp2p,grandinetech/grandine,4.5,
L2Juror67,2026-06-17T22:37:10.541Z,ethereum/EIPs,ethereum/py_ecc,1.2,
L2Juror67,2026-06-17T22:37:23.791Z,ethereum/consensus-specs,supranational/blst,2.5,
L2Juror67,2026-06-17T22:37:36.487Z,ethereum/consensus-specs,argotorg/solidity,1.2,
L2Juror67,2026-06-17T22:37:49.994Z,ethereum/consensus-specs,ethereum/EIPs,1,
L2Juror67,2026-06-17T22:38:15.555Z,ethereum/js-ethereum-cryptography,grandinetech/grandine,4,
L1Juror68,2026-06-18T10:55:43.337Z,foundry-rs/foundry,ethereum-lists/chains,15,Foundry helps in fast and complete development of smart contracts and web3 apps
L1Juror68,2026-06-18T10:55:52.605Z,foundry-rs/foundry,vyperlang/vyper,2.5,
L1Juror68,2026-06-18T10:56:54.047Z,LFDT-web3j/web3j,ethereum-lists/chains,10,"The only web3 library for Java, used by a lot of Enterprises and Java based Client like Besu and Linea"
L1Juror68,2026-06-18T10:57:45.989Z,foundry-rs/foundry,remix-project-org/remix-project,1.5,"both equally imp, one is for professional other is for begginers"
L1Juror68,2026-06-18T10:58:10.550Z,argotorg/solidity,erigontech/erigon,7,
L1Juror68,2026-06-18T10:58:41.180Z,argotorg/solidity,remix-project-org/remix-project,6,
L1Juror68,2026-06-18T10:59:40.550Z,ethereum/go-ethereum,erigontech/erigon,5,Due to more dependancy on go-ethereum by node runners
L1Juror68,2026-06-18T11:01:28.417Z,foundry-rs/foundry,erigontech/erigon,5,"Foundry helps the development. Erigon has many alternatives -> Geth, besu, etc"
L1Juror68,2026-06-18T11:02:03.158Z,OpenZeppelin/openzeppelin-contracts,hyperledger/besu,3,Sets a standard for contract developers
L1Juror68,2026-06-18T11:02:49.766Z,ethereum/go-ethereum,hyperledger/besu,1.5,"Both are equally imp, just geth has more users. But Besu provides diversity as a Java client"
L3Juror3,2026-06-18T15:31:24.980Z,ethereum/go-ethereum,ApeWorX/ape,5,A mission critical client software vs a framework for the 2nd most popular language
L3Juror3,2026-06-18T15:32:03.080Z,foundry-rs/foundry,TrueBlocks/trueblocks-core,10,"Trueblocks is a nice initiative but currently foundry is the backbone of all contract development
"
L3Juror3,2026-06-18T15:32:26.113Z,argotorg/solidity,foundry-rs/foundry,1.5,Without solidity there wouldn't be foundry
L3Juror3,2026-06-18T15:32:55.633Z,foundry-rs/foundry,LFDT-web3j/web3j,5,"Foundry is the backbone of contract development, webj is very important but the java ecosystem is not as much used"
L3Juror3,2026-06-18T15:33:07.071Z,Nethereum/Nethereum,ethereum-lists/chains,5,
L3Juror3,2026-06-18T15:33:14.612Z,argotorg/solidity,ethereum-lists/chains,10,
L3Juror3,2026-06-18T15:33:28.966Z,ethereum/go-ethereum,erigontech/erigon,2,
L3Juror3,2026-06-18T15:33:38.788Z,ApeWorX/ape,swiss-knife-xyz/swiss-knife,4,
L3Juror3,2026-06-18T15:33:50.577Z,foundry-rs/foundry,erigontech/erigon,1.5,
L1Juror69,2026-06-22T08:51:07.572Z,NomicFoundation/hardhat,status-im/nimbus-eth2,3,
L1Juror69,2026-06-22T08:51:20.509Z,hyperledger/besu,status-im/nimbus-eth2,1.1,
L1Juror69,2026-06-22T08:51:34.007Z,NomicFoundation/hardhat,ChainSafe/lodestar,2,
L1Juror69,2026-06-22T08:51:45.686Z,ethereum/EIPs,NomicFoundation/hardhat,1.5,
L1Juror69,2026-06-22T08:52:02.782Z,ethereum/EIPs,hyperledger/besu,2,
L1Juror69,2026-06-22T08:52:12.152Z,ethereum/go-ethereum,flashbots/rbuilder,5,
L1Juror69,2026-06-22T08:52:23.023Z,foundry-rs/foundry,OffchainLabs/prysm,2,
L1Juror69,2026-06-22T08:52:33.040Z,NomicFoundation/hardhat,erigontech/erigon,2,
L1Juror69,2026-06-22T08:52:42.099Z,ethereum/go-ethereum,erigontech/erigon,2,
L1Juror69,2026-06-22T08:52:48.901Z,foundry-rs/foundry,NomicFoundation/hardhat,2,
L1Juror70,2026-06-09T22:07:22.496Z,sigp/lighthouse,ChainSafe/lodestar,3.5,"Lighthouse is an industry leader, first to prototype and first to test new things.
Other clients often use it as a reference or role model or use its library (such as Grandine which uses a fork of Lighthouse's eth p2p library)."
L1Juror70,2026-06-09T22:15:02.682Z,paradigmxyz/reth,Consensys/teku,1,"I favor Reth because I believe it has higher long-term potential. Being written in Rust gives it strong performance and makes it attractive for building high-performance Ethereum infrastructure.

Reth's architecture is designed with performance and flexibility in mind. This is one reason why teams like eg. Sorella Labs have chosen it as the foundation for new MEV-related infrastructure.

Teku is a stable and mature client that has been an important part of Ethereum for many years. However, I believe Reth has greater potential for future innovation and adoption.
"
L1Juror70,2026-06-09T22:15:55.975Z,paradigmxyz/reth,intellij-solidity/intellij-solidity,3,
L1Juror70,2026-06-09T22:44:11.984Z,ethereum/EIPs,sigp/lighthouse,1.3,"I favor EIPs because they define Ethereum's overall direction and roadmap. Lighthouse is a critical client, but it is ultimately one implementation of the protocol. EIPs influence the entire ecosystem and every major upgrade that Ethereum adopts."
L1Juror70,2026-06-09T22:51:33.526Z,ethereum/go-ethereum,ChainSafe/lodestar,5,"I favor Geth because of its outsized impact on Ethereum's history and developer ecosystem. Its libraries and tooling have been used across a huge number of applications and infrastructure projects. While Lodestar is important for client diversity, Geth's influence on Ethereum development has been much broader..

As a fun fact, many early Ethereum startups and applications were built in Go partly because Geth was written in Go (eg. Tenderly, DeFi Saver..)
"
L1Juror70,2026-06-09T22:57:09.528Z,remix-project-org/remix-project,intellij-solidity/intellij-solidity,5,"I strongly favor Remix, these projects operate on completely different levels of impact.
The IntelliJ plugin improves an existing workflow. Remix created the workflow for many developers.


Almost every Solidity developer has used Remix at some point. For many developers, Remix was the first place where they wrote, tested, and deployed a smart contract. It has been one of the most important onboarding tools in Ethereum for years because it removes the need to install and configure a local development environment.

The IntelliJ Solidity plugin is useful for developers who already use IntelliJ, but it mainly improves an existing workflow. Remix helped create that workflow in the first place by introducing bunch of developers to Ethereum development.

"
L1Juror70,2026-06-09T23:04:01.798Z,remix-project-org/remix-project,ChainSafe/lodestar,1.5,
L1Juror70,2026-06-09T23:31:47.850Z,sigp/lighthouse,paradigmxyz/reth,2,"Lighthouse has been a critical consensus client and has played an important role in securing Ethereum since the Beacon Chain launch. However, I expect Reth to become increasingly important as more performance-sensitive applications and infrastructure providers build on top of it."
L1Juror70,2026-06-09T23:32:52.647Z,sigp/lighthouse,Consensys/teku,1.8,
L1Juror70,2026-06-09T23:33:45.878Z,ethereum/EIPs,ChainSafe/lodestar,3.5,
L1Juror71,2026-02-18T18:59:39.471Z,foundry-rs/foundry,flashbots/mev-boost-relay,3,
L1Juror71,2026-02-18T19:00:13.110Z,wevm/viem,ethers-io/ethers.js,5,viem is a modern and better designed alternative to ethers.js
L1Juror71,2026-02-18T19:00:34.769Z,foundry-rs/foundry,scaffold-eth/scaffold-eth-2,2,
L1Juror71,2026-02-18T19:00:43.818Z,NethermindEth/nethermind,flashbots/mev-boost-relay,5,
L1Juror71,2026-02-18T19:00:54.777Z,ethers-io/ethers.js,ethereum/js-ethereum-cryptography,2,
L1Juror71,2026-02-18T19:01:03.731Z,NomicFoundation/hardhat,ethers-io/ethers.js,2,
L1Juror71,2026-02-18T19:01:09.556Z,wevm/viem,NomicFoundation/hardhat,5,
L1Juror71,2026-02-18T19:01:16.431Z,foundry-rs/foundry,ethers-io/ethers.js,10,
L1Juror71,2026-02-18T19:01:22.509Z,flashbots/mev-boost-relay,ethers-io/ethers.js,3,
L1Juror71,2026-02-18T19:01:38.200Z,flashbots/mev-boost-relay,NomicFoundation/hardhat,3,
L1Juror72,2026-02-20T23:30:48.218Z,OpenZeppelin/openzeppelin-contracts,DefiLlama/chainlist,20,
L1Juror73,2026-02-27T16:43:33.450Z,succinctlabs/rsp,argotorg/fe,2,fe 的探索没有意义，solidity core 已经足够好了。
L1Juror73,2026-02-27T16:44:20.802Z,protofire/solhint,argotorg/fe,10,重复第二遍，fe 的工作没有意义。
L1Juror73,2026-02-27T16:45:10.597Z,lambdaclass/ethrex,succinctlabs/rsp,5,ethrex 做的更好
L1Juror74,2026-03-03T19:10:13.495Z,ethereum/go-ethereum,ethereum/py_ecc,100,"py_ecc is nice to have as a research tool, but it's not used in production and there wouldn't be a real impact if it were to disappear overnight."
L1Juror74,2026-03-03T19:13:27.662Z,ethereum/consensus-specs,OffchainLabs/prysm,2,"The specs repo makes it possible for new clients to be made & provides clear instructions for what changes everyone must make in order to be compliant. Without the specs, most clients might not even exist. It serves as a coordination point. Prysm is a very important client, but the specs are more valuable. If Prysm were to be deprecated, there are other clients the ecosystem could use."
L1Juror74,2026-03-03T19:14:11.844Z,status-im/nimbus-eth2,ethereum/py_ecc,50,"Nimbus is used by ~10% of the network. py_ecc is not really used by anyone, outside of the specs."
L1Juror74,2026-03-03T19:17:52.006Z,OffchainLabs/prysm,Consensys/gnark-crypto,2,"Gnark-crypto is an important library which several clients depend on (Geth, Besu, Prysm, etc). But clients could theoretically switch to blst and probably be fine. Node operators could simply switch away from Prysm, but it would hurt the ecosystem more."
L1Juror74,2026-03-03T19:21:20.317Z,flashbots/mev-boost,ethereum/py_ecc,10,"Most (80%+) of the network uses mev-boost, but it's not actually critical to the protocol. It's just a tool which allows validators to earn more rewards & allows builders to extract MEV and do other things. Having builders in the network does provide other value to the ecosystem too. Again, I don't really believe anyone uses py_ecc in production."
L1Juror74,2026-03-03T19:24:22.743Z,ethereum/go-ethereum,status-im/nimbus-eth2,5,"Way more of the network uses Geth, but nimbus is probably the only client which works on low-resource hardware; it would be sort of difficult to replace that."
L1Juror74,2026-03-03T19:25:02.386Z,supranational/blst,ethereum/consensus-specs,10,"Without blst, Ethereum simply would not exist."
L1Juror74,2026-03-03T19:25:43.329Z,ethereum/go-ethereum,flashbots/mev-boost,30,We'd be fine without mev-boost. Clients could just implement it or node operators could switch to commit-boost.
L1Juror74,2026-03-03T19:27:42.068Z,supranational/blst,ethstaker/ethstaker-deposit-cli,100,"Almost all of the network clients depend on blst in some way. If it were to disappear, it would be a major loss to the network. If the deposit-cli were to disappear, it would hurt but we could switch to ethdo or make a new one pretty quickly."
L1Juror74,2026-03-03T19:32:10.484Z,status-im/nimbus-eth2,ethstaker/ethstaker-deposit-cli,2,There's just one other tool (ethdo) that I'm aware of that would allow operators to make deposits to the beacon chain. I believe most everyone uses deposit-cli though. Losing the deposit-cli would hurt a lot. But nimbus is the only CL client that we know works with low-resource hardware which promotes validator diversity. It would be more difficult to replace nimbus.
L1Juror1,2026-04-05T22:59:56.812Z,flashbots/mev-boost,flashbots/mev-boost-relay,2,"Both are integral to PBS as it exists today. However, mev-boost-relay is intended to become redundant once Ethereum introduces ePBS, whereas something like mev-boost makes sense to exist in any architecture."
L1Juror1,2026-04-05T23:02:06.139Z,ethereum/go-ethereum,vyperlang/vyper,9,"Exec clients are ~3x more valuable than programming languages (raw intuitive judgement). Geth has 40% market share, Vyper has ~3% market share. We make some adjustments because of inherent value of diversity: Geth to 30%, Vyper to 10%. So multiplying, 3 * 0.3 / 0.1 = 9x"
L1Juror1,2026-04-05T23:06:06.372Z,ethers-io/ethers.js,flashbots/mev-boost,1.67,"Intuitively, PBS is ~10% of the ethereum client pipeline, and mev-boost is ~2/3 of that (there is also mev-boost-relay). Meanwhile, ethers.js is ~1/3 of the UI pipeline (also, wallets, dapp interfaces), which I rate ~1/3 as important as clients

So, 0.1 * 2/3 vs 1/3 * 1/3

So 1.67x for ethers.js"
L1Juror1,2026-04-05T23:07:38.351Z,ethereum/go-ethereum,flashbots/mev-boost-relay,9,"I rate PBS at 10% of the ethereum client pipeline, mev-boost-relay is 1/3 of that

go-ethereum has 40% market share, because of client diversity adjustments I mark that down to 30%

So we get 0.1 * 1/3 vs 0.3, 9x for go-ethereum"
L1Juror1,2026-04-05T23:13:32.239Z,flashbots/mev-boost,argotorg/sourcify,6.667,"I rank contract verification as 0.1x as important as clients. The PBS pipeline also is, MEV-boost is 2/3 of that. Sourcify is ~10% market share (etherscan is ~90%) in contract verification. So, 0.1 * 2/3 vs 0.1 * 0.1 -> 6.667x for mev-boost"
L1Juror1,2026-04-05T23:14:42.694Z,flashbots/mev-boost-relay,vyperlang/vyper,1,"Programming langs are 1/3 as important as exec clients. Vyper has 3% market share, marked up to 10% due to benefit of diversity.

mev-boost-relay is 1/3 of the PBS pipeline, which is 10% as important as exec clients.

So, 0.1 * 1/3 vs 1/3 * 0.1 = 1"
L1Juror1,2026-04-05T23:15:51.025Z,flashbots/mev-boost-relay,argotorg/sourcify,3.333,"I rank contract verification as 0.1x as important as clients. The PBS pipeline also is, MEV-boost-relay is 1/3 of that. Sourcify is ~10% market share (etherscan is ~90%) in contract verification. So, 0.1 * 1/3 vs 0.1 * 0.1 -> 3.333 for mev-boost-relay"
L1Juror1,2026-04-05T23:18:37.178Z,NomicFoundation/hardhat,argotorg/sourcify,8.333,"Development environments for smart contract writing are ~1/2 as important as programming languages, which are ~1/3 as important as exec clients. Hardhat has 60% market share, marked down to 50% due to the value of diversity.

Contract verification is 10% as important as exec clients, sourcify has 10% market share.

So, 1/3 * 1/2 * 0.5 vs 0.1 * 0.1 -> 8.33x for hardhat"
